,0
0,0.3507142961025238
1,0.35442855954170227
2,0.38042858242988586
3,0.6000000238418579
4,0.46942856907844543
5,0.33628571033477783
6,0.35828572511672974
7,0.34214285016059875
8,0.33799999952316284
9,0.670714259147644
